OBJECTID,FID_BANJIR,ID,GRIDCODE,WADMKD,WADMKC,WADMKK,KDEPUM,KDCPUM,KDPKAB,KELAS,SHAPE.AREA,SHAPE.LEN
689,477,478,3,Palmerah,Pal Merah,Kota Adm. Jakarta Barat,31.73.07.1001,31.73.07,31.73,Berat,6846.8620622935905,377.29320987066603
690,478,479,2,Kebon Manggis,Matraman,Kota Adm. Jakarta Timur,31.75.01.1005,31.75.01,31.75,Sedang,4930.232237355601,302.96899883998003
691,478,479,2,Palmeriam,Matraman,Kota Adm. Jakarta Timur,31.75.01.1004,31.75.01,31.75,Sedang,1473.5763552026501,213.532671372187
692,479,480,2,Meruya Utara,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1002,31.73.08,31.73,Sedang,51998.7238097511,924.315376814873
693,479,480,2,Meruya Selatan,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1003,31.73.08,31.73,Sedang,2137.04043060526,237.87400105691103
694,480,481,2,Jatinegara Kaum,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1004,31.75.02,31.75,Sedang,4180.56883316506,464.120717473188
695,480,481,2,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Sedang,103900.40512734801,1371.09861267479
696,481,482,3,Penggilingan,Cakung,Kota Adm. Jakarta Timur,31.75.06.1003,31.75.06,31.75,Berat,37744.2199731476,1032.44802184282
697,482,483,2,Meruya Utara,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1002,31.73.08,31.73,Sedang,6846.8620622935905,377.29320987066603
698,483,484,3,Meruya Utara,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1002,31.73.08,31.73,Berat,9999.99999893304,399.99999997866104
699,484,485,2,Sukabumi Utara,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1002,31.73.05,31.73,Sedang,9999.99999893304,399.99999997866104
700,485,486,3,Palmerah,Pal Merah,Kota Adm. Jakarta Barat,31.73.07.1001,31.73.07,31.73,Berat,6846.862062587601,377.293209878935
