OBJECTID,FID_BANJIR,ID,GRIDCODE,kelurahan,kecamatan,kota_administrasi,kode_kelurahan,kode_kecamatan,kode_kota,risk_class,shape_area,shape_len,city,baseline_score
1731,1057,1058,3,KOTA BAMBU UTARA,PAL MERAH,KOTA ADM. JAKARTA BARAT,31.73.07.1003,31.73.07,31.73,BERAT,465281.629592607,4531.690097531131,JAKARTA BARAT,0.9
1732,1057,1058,3,JATIPULO,PAL MERAH,KOTA ADM. JAKARTA BARAT,31.73.07.1004,31.73.07,31.73,BERAT,836309.80107734,4582.832606007981,JAKARTA BARAT,0.9
1733,1057,1058,3,KRAMAT PELA,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,31.74.07.1003,31.74.07,31.74,BERAT,304795.761575223,3876.6592327558,JAKARTA SELATAN,0.9
1734,1057,1058,3,SELONG,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,31.74.07.1004,31.74.07,31.74,BERAT,191128.80627780105,3636.3473515430705,JAKARTA SELATAN,0.9
1735,1057,1058,3,RAWA BARAT,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,31.74.07.1005,31.74.07,31.74,BERAT,253031.574636566,3538.8210813083406,JAKARTA SELATAN,0.9
1736,1057,1058,3,SENAYAN,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,31.74.07.1006,31.74.07,31.74,BERAT,716651.910234342,7580.14100659849,JAKARTA SELATAN,0.9
1737,1057,1058,3,PULO,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,31.74.07.1007,31.74.07,31.74,BERAT,65900.44540313761,2135.20304381209,JAKARTA SELATAN,0.9
1738,1057,1058,3,PETOGOGAN,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,31.74.07.1008,31.74.07,31.74,BERAT,303248.703402355,3966.34544763994,JAKARTA SELATAN,0.9
1739,1057,1058,3,GANDARIA UTARA,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN,31.74.07.1009,31.74.07,31.74,BERAT,401786.760923145,4364.18883063022,JAKARTA SELATAN,0.9
1740,1057,1058,3,BUKIT DURI,TEBET,KOTA ADM. JAKARTA SELATAN,31.74.01.1005,31.74.01,31.74,BERAT,994284.999547802,6866.661389278921,JAKARTA SELATAN,0.9
1741,1057,1058,3,MANGGARAI SELATAN,TEBET,KOTA ADM. JAKARTA SELATAN,31.74.01.1006,31.74.01,31.74,BERAT,311267.318800495,3353.9333392377903,JAKARTA SELATAN,0.9
1742,1057,1058,3,MANGGARAI,TEBET,KOTA ADM. JAKARTA SELATAN,31.74.01.1007,31.74.01,31.74,BERAT,939710.688566626,5155.476406720631,JAKARTA SELATAN,0.9
1743,1057,1058,3,SETIA BUDI,SETIABUDI,KOTA ADM. JAKARTA SELATAN,31.74.02.1001,31.74.02,31.74,BERAT,584402.9553512831,4453.81782057953,JAKARTA SELATAN,0.9
1744,1057,1058,3,KARET SEMANGGI,SETIABUDI,KOTA ADM. JAKARTA SELATAN,31.74.02.1002,31.74.02,31.74,BERAT,761966.742878175,5135.1200971443595,JAKARTA SELATAN,0.9
1745,1057,1058,3,KARET KUNINGAN,SETIABUDI,KOTA ADM. JAKARTA SELATAN,31.74.02.1003,31.74.02,31.74,BERAT,752441.747323093,5489.673797887321,JAKARTA SELATAN,0.9
